,game_id,player_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
5775,2016020634,8473573,16,1098,0,0,3,0.0,0,0,0,5,14,0.0,1.0,0,0,1.0,-1,978,0,120
5776,2016020634,8478550,16,1137,0,0,1,0.0,0,0,0,0,0,1.0,0.0,0,0,0.0,-1,1011,0,126
5777,2016020634,8469547,16,530,0,0,0,1.0,0,0,0,0,0,0.0,1.0,0,0,1.0,-2,530,0,0
6210,2015020170,8471769,16,1555,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,4.0,2,1383,169,3
6211,2015020170,8471956,16,702,0,0,3,0.0,0,0,0,0,0,2.0,0.0,0,0,1.0,-1,547,155,0
6212,2015020170,8470607,16,1629,1,0,4,1.0,0,0,0,0,0,0.0,2.0,0,0,3.0,1,1401,129,99
6213,2015020170,8476979,16,640,0,0,0,2.0,0,0,0,0,0,0.0,0.0,0,0,2.0,0,600,0,40
6214,2015020170,8470110,16,618,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,600,0,18
6215,2015020170,8473604,16,1284,1,1,1,1.0,0,0,0,20,27,1.0,0.0,0,1,0.0,2,1140,64,80
6216,2015020170,8476116,16,1033,1,0,1,4.0,0,0,2,0,0,0.0,0.0,0,0,0.0,1,954,76,3
6217,2015020170,8477448,16,671,0,0,1,0.0,0,0,0,0,1,1.0,0.0,0,0,1.0,0,671,0,0
6218,2015020170,8478528,16,726,0,0,0,1.0,0,0,0,2,7,0.0,0.0,0,0,0.0,0,708,0,18
6219,2015020170,8477845,16,1353,0,0,2,2.0,0,0,0,0,0,1.0,1.0,0,0,2.0,1,1239,111,3
6220,2015020170,8476882,16,871,0,1,3,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,831,0,40
6221,2015020170,8477300,16,1328,1,0,0,0.0,0,0,0,0,0,1.0,0.0,0,0,2.0,0,1257,71,0
6222,2015020170,8474141,16,1160,1,1,4,2.0,0,0,0,0,0,1.0,0.0,0,0,0.0,2,1061,0,99
6223,2015020170,8475323,16,758,0,0,0,0.0,0,0,2,6,11,1.0,0.0,0,0,1.0,-1,600,158,0
6224,2015020170,8477451,16,559,0,0,1,3.0,0,0,0,0,1,2.0,1.0,0,0,1.0,-1,559,0,0
6225,2015020170,8473573,16,964,1,1,1,0.0,0,0,0,7,14,0.0,0.0,1,0,0.0,2,865,59,40
6226,2015020170,8478550,16,1140,1,0,4,0.0,0,0,2,0,0,0.0,1.0,0,0,0.0,1,1060,0,80
6227,2015020170,8476381,16,681,0,0,1,2.0,0,0,0,2,3,0.0,0.0,0,0,0.0,-1,604,0,77
6264,2015020768,8466148,16,1110,1,1,3,0.0,0,0,2,0,0,0.0,0.0,0,1,0.0,2,832,182,96
6265,2015020768,8471769,16,1537,0,0,2,1.0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,1285,247,5
6266,2015020768,8471956,16,884,0,0,2,0.0,0,0,0,0,2,1.0,0.0,0,0,0.0,0,667,199,18
6267,2015020768,8465058,16,902,0,1,3,0.0,0,0,0,0,0,0.0,0.0,0,0,1.0,1,883,19,0
6268,2015020768,8477929,16,355,0,0,2,1.0,0,0,0,4,8,0.0,0.0,0,0,0.0,0,355,0,0
6269,2015020768,8470607,16,1422,1,0,5,2.0,0,0,0,0,0,1.0,0.0,0,0,3.0,1,861,186,375
6270,2015020768,8476979,16,616,0,0,1,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,557,0,59
6271,2015020768,8475209,16,481,0,0,0,1.0,0,0,0,0,0,0.0,1.0,0,0,0.0,0,481,0,0
6272,2015020768,8473604,16,1142,0,2,4,2.0,0,0,0,6,16,2.0,1.0,1,0,0.0,3,916,130,96
6273,2015020768,8476479,16,638,0,0,1,1.0,0,0,2,5,10,1.0,0.0,0,0,1.0,-1,620,0,18
6274,2015020768,8477845,16,1049,1,0,1,1.0,0,0,0,0,0,1.0,0.0,0,1,0.0,0,904,145,0
6275,2015020768,8476882,16,938,0,0,2,0.0,0,0,0,2,3,0.0,0.0,0,0,2.0,-2,772,80,86
6276,2015020768,8470281,16,1898,0,0,3,0.0,0,0,2,0,0,0.0,0.0,0,0,0.0,2,1358,187,353
6277,2015020768,8474141,16,1345,0,1,2,0.0,0,0,0,0,1,0.0,0.0,0,0,1.0,0,1009,2,334
6278,2015020768,8474850,16,369,0,0,0,4.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,369,0,0
6279,2015020768,8473573,16,1434,1,0,3,0.0,0,0,0,8,24,1.0,0.0,0,0,1.0,2,918,191,325
6280,2015020768,8478550,16,1361,3,0,5,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,1036,0,325
6281,2015020768,8476381,16,783,0,0,1,2.0,0,0,4,0,0,1.0,0.0,0,0,0.0,1,678,0,105
6912,2016020801,8466148,16,917,0,0,1,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1,802,63,52
6913,2016020801,8471769,16,1378,1,0,0,0.0,0,0,0,0,0,0.0,1.0,0,0,5.0,2,1201,177,0
6914,2016020801,8477929,16,780,0,0,1,1.0,0,0,2,6,15,0.0,0.0,0,0,1.0,-1,743,37,0
6915,2016020801,8466285,16,1105,0,0,2,0.0,0,0,0,0,0,0.0,1.0,0,0,1.0,0,1073,0,32
6916,2016020801,8470607,16,1200,0,0,1,2.0,0,0,2,0,0,1.0,0.0,0,0,1.0,-2,1047,69,84
6917,2016020801,8475209,16,875,1,1,3,0.0,0,0,2,0,0,0.0,0.0,0,0,1.0,2,839,0,36
6918,2016020801,8473604,16,1129,2,1,5,0.0,1,0,0,13,26,0.0,0.0,0,0,1.0,2,933,102,94
6919,2016020801,8478528,16,767,0,0,0,1.0,0,0,0,5,7,0.0,0.0,0,0,0.0,1,709,58,0
6920,2016020801,8477845,16,1238,0,0,0,0.0,0,0,0,0,0,0.0,2.0,0,0,2.0,0,1126,112,0
6921,2016020801,8470281,16,1496,2,0,4,1.0,0,1,0,0,0,0.0,0.0,0,0,0.0,0,1267,102,127
6922,2016020801,8474141,16,1184,1,0,6,1.0,0,1,0,0,0,1.0,0.0,0,0,0.0,-2,1025,0,159
6923,2016020801,8476994,16,675,1,0,1,2.0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,675,0,0
6924,2016020801,8477951,16,788,0,1,1,1.0,0,0,0,0,1,0.0,0.0,0,0,0.0,2,744,0,44
6925,2016020801,8475323,16,938,0,0,1,0.0,0,0,0,1,2,0.0,0.0,0,0,3.0,-1,761,177,0
6926,2016020801,8477451,16,731,0,1,4,0.0,0,0,0,0,0,0.0,1.0,0,0,0.0,0,731,0,0
6927,2016020801,8473573,16,983,0,0,0,0.0,0,0,0,6,8,1.0,1.0,0,0,0.0,-2,916,43,24
6928,2016020801,8478550,16,1118,0,0,2,0.0,0,0,0,0,0,0.0,1.0,0,0,0.0,-1,1014,0,104
6929,2016020801,8479482,16,944,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0,0,0.0,0,924,20,0
7758,2015020002,8466148,16,1049,1,0,2,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,1018,0,31
7759,2015020002,8471769,16,1314,1,0,4,0.0,0,0,0,0,0,0.0,2.0,0,0,0.0,1,1314,0,0
7760,2015020002,8471956,16,734,0,0,3,1.0,0,0,0,0,1,0.0,0.0,0,0,0.0,-1,734,0,0
7761,2015020002,8470607,16,1397,0,0,2,2.0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1,1308,0,89
7762,2015020002,8470110,16,860,0,0,1,0.0,0,0,0,0,0,0.0,1.0,0,0,1.0,-1,843,0,17
7763,2015020002,8471254,16,714,0,0,0,3.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,714,0,0
7764,2015020002,8473604,16,1144,1,0,2,1.0,0,0,0,10,18,1.0,0.0,0,0,0.0,1,1055,0,89
7765,2015020002,8476116,16,673,0,0,3,5.0,0,0,0,0,0,0.0,1.0,0,0,0.0,-1,673,0,0
7766,2015020002,8477845,16,901,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1,901,0,0
7767,2015020002,8476882,16,1008,0,1,3,0.0,0,0,0,0,0,1.0,0.0,0,0,0.0,1,977,0,31
7768,2015020002,8470281,16,1557,0,0,2,1.0,0,0,0,0,0,0.0,3.0,0,0,2.0,0,1454,0,103
7769,2015020002,8474141,16,1342,1,0,5,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1,1253,0,89
7770,2015020002,8475323,16,740,0,0,0,1.0,0,0,0,6,15,1.0,0.0,0,0,0.0,0,740,0,0
7771,2015020002,8473573,16,1028,0,0,1,3.0,0,0,0,10,16,0.0,0.0,0,0,0.0,-2,997,0,31
7772,2015020002,8478550,16,1010,0,1,2,2.0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1,979,0,31
7773,2015020002,8478393,16,563,0,0,1,1.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,563,0,0
