,game_id,player_id,team_id,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,savePercentage,powerPlaySavePercentage,evenStrengthSavePercentage
43679,2001020071,8459432,16,3900,0,0,0,23,21,5,2,14,2,14,7,91.304347826087,71.4285714285714,100.0
43683,2001020935,8459132,16,3696,0,0,2,17,15,3,0,12,0,14,3,88.2352941176471,100.0,85.7142857142857
43684,2001020983,8459432,16,3542,0,0,0,32,30,2,0,28,0,30,2,93.75,100.0,93.3333333333333
43700,2001020875,8459132,16,2289,0,0,0,11,10,0,0,10,0,11,0,90.9090909090909,0.0,90.9090909090909
43701,2001020875,8459432,16,1280,0,0,0,9,6,1,1,4,1,5,3,66.6666666666667,33.3333333333333,80.0
43706,2001020400,8459432,16,3600,0,0,0,23,21,2,0,19,0,21,2,91.304347826087,100.0,90.4761904761905
43738,2001020023,8459432,16,3600,0,0,0,25,21,3,0,18,0,21,4,84.0,75.0,85.7142857142857
43776,2001020580,8459432,16,3600,0,0,0,31,30,5,0,25,0,25,6,96.7741935483871,83.3333333333333,100.0
43795,2001020112,8459432,16,3900,0,0,0,25,23,7,1,15,1,16,8,92.0,87.5,93.75
43812,2001021144,8459432,16,3528,0,0,0,19,16,7,1,8,1,10,8,84.2105263157895,87.5,80.0
43857,2001021175,8459432,16,3598,0,0,0,17,15,4,1,10,1,11,5,88.2352941176471,80.0,90.9090909090909
43863,2001020117,8459432,16,3600,0,0,0,16,14,3,0,11,0,11,5,87.5,60.0,100.0
43867,2001020461,8459132,16,3898,0,0,0,28,26,6,0,20,0,22,6,92.8571428571429,100.0,90.9090909090909
43870,2001020286,8459132,16,1200,0,0,0,9,7,0,0,7,0,9,0,77.7777777777778,0.0,77.7777777777778
43871,2001020286,8459432,16,2400,0,0,0,31,26,1,1,24,1,28,2,83.8709677419355,50.0,85.7142857142857
43892,2001020630,8459432,16,3598,0,0,0,22,22,1,0,21,0,21,1,100.0,100.0,100.0
43923,2001020163,8459432,16,3900,0,0,0,25,22,2,2,18,2,19,4,88.0,50.0,94.7368421052632
43962,2001020383,8459432,16,3571,0,0,0,32,28,4,2,22,2,25,5,87.5,80.0,88.0
44001,2001020696,8459432,16,3597,0,0,0,16,16,6,2,8,2,8,6,100.0,100.0,100.0
44010,2001020188,8459432,16,3600,0,0,0,31,29,6,0,23,0,25,6,93.5483870967742,100.0,92.0
44031,2001020658,8459132,16,3600,0,0,0,21,20,2,3,15,3,15,3,95.2380952380952,66.6666666666667,100.0
44082,2001020783,8459432,16,3592,0,0,0,22,20,4,1,15,1,16,5,90.9090909090909,80.0,93.75
44113,2001021159,8459132,16,3600,0,0,0,40,35,14,0,21,0,25,15,87.5,93.3333333333333,84.0
44334,2014030411,8470645,16,3600,0,0,0,23,22,2,0,20,0,21,2,95.6521739130435,100.0,95.2380952380952
44336,2014030412,8470645,16,3476,0,0,0,24,20,0,1,19,1,22,1,83.3333333333333,0.0,86.3636363636364
44340,2014030413,8470645,16,3498,0,0,0,32,29,3,0,26,0,29,3,90.625,100.0,89.6551724137931
44342,2014030414,8470645,16,3592,0,0,0,25,24,6,0,18,0,19,6,96.0,100.0,94.7368421052632
44343,2014030415,8470645,16,3600,0,0,0,32,31,2,1,28,1,29,2,96.875,100.0,96.551724137931
44346,2014030416,8470645,16,3593,0,0,0,25,25,3,1,21,1,21,3,100.0,100.0,100.0
